,game_id,x_location,y_location,outcome,xg,player,x_end_location,y_end_location,z_end_location,minute,team
805,7582,99.0,33.0,Blocked,0.04410862,Andrés Iniesta Luján,103.0,31.0,,106,Spain
806,7582,114.0,54.0,Saved,0.065044984,Rodrigo Moreno Machado,117.0,43.8,0.2,108,Spain
807,7582,108.0,42.0,Blocked,0.122587204,Daniel Carvajal Ramos,113.0,41.0,,108,Spain
808,7582,101.0,44.0,Off T,0.076937445,Rodrigo Moreno Machado,120.0,34.2,4.1,108,Spain
809,7582,108.0,59.0,Blocked,0.019856269,Gerard Piqué Bernabéu,113.0,50.0,,111,Spain
810,7582,113.0,45.0,Blocked,0.081559144,Aleksandr Erokhin,114.0,44.0,,116,Russia
811,7582,99.0,35.0,Saved,0.09485871,Rodrigo Moreno Machado,117.0,38.0,0.3,120,Spain
812,7582,109.0,41.0,Goal,0.76,Andrés Iniesta Luján,120.0,42.0,1.6,120,Spain
813,7582,109.0,41.0,Goal,0.76,Fyodor Smolov,120.0,37.4,1.2,120,Russia
814,7582,109.0,41.0,Goal,0.76,Gerard Piqué Bernabéu,120.0,36.2,1.1,121,Spain
815,7582,109.0,41.0,Goal,0.76,Sergei Ignashevich,120.0,43.4,1.6,122,Russia
816,7582,109.0,41.0,Saved,0.76,Jorge Resurrección Merodio,120.0,37.8,0.6,122,Spain
817,7582,109.0,41.0,Goal,0.76,Aleksandr Golovin,120.0,38.5,0.2,123,Russia
818,7582,109.0,41.0,Goal,0.76,Sergio Ramos García,120.0,37.8,1.6,124,Spain
819,7582,109.0,41.0,Goal,0.76,Denis Cheryshev,120.0,40.5,1.3,124,Russia
820,7582,109.0,41.0,Saved,0.76,Iago Aspas Juncal,119.0,39.1,0.9,125,Spain
821,7552,100.0,51.0,Saved,0.030079601,Thomas Meunier,120.0,43.6,0.2,2,Belgium
822,7552,108.0,40.0,Goal,0.76,Eden Hazard,120.0,37.0,0.0,6,Belgium
823,7552,109.0,24.0,Blocked,0.049662188,Axel Witsel,111.0,28.0,,11,Belgium
824,7552,110.0,44.0,Saved,0.24408586,Eden Hazard,119.0,43.6,0.4,12,Belgium
825,7552,101.0,21.0,Saved,0.018060315,Yannick Ferreira Carrasco,119.0,37.4,0.9,14,Belgium
826,7552,104.0,33.0,Goal,0.23132385,Romelu Lukaku Menama,120.0,44.0,0.0,15,Belgium
827,7552,112.0,41.0,Goal,0.1351952,Dylan Bronn,120.0,43.4,1.3,17,Tunisia
828,7552,107.0,33.0,Saved,0.09233936,Yannick Ferreira Carrasco,119.0,43.2,0.6,18,Belgium
829,7552,102.0,56.0,Off T,0.02820845,Toby Alderweireld,120.0,34.6,0.2,20,Belgium
830,7552,100.0,34.0,Blocked,0.091529965,Axel Witsel,104.0,36.0,,27,Belgium
831,7552,106.0,69.0,Off T,0.06366108,Wahbi Khazri,120.0,40.5,4.4,29,Tunisia
832,7552,101.0,45.0,Off T,0.09220893,Ferjani Sassi,120.0,34.4,0.2,30,Tunisia
833,7552,88.0,26.0,Saved,0.017847752,Wahbi Khazri,118.0,41.9,2.4,32,Tunisia
834,7552,96.0,37.0,Off T,0.034719113,Fakhreddine Ben Youssef,120.0,45.6,2.3,38,Tunisia
835,7552,117.0,27.0,Blocked,0.027620574,Saîf-Eddine Khaoui,117.0,29.0,,41,Tunisia
836,7552,112.0,45.0,Goal,0.5764766,Romelu Lukaku Menama,120.0,40.3,0.2,47,Belgium
837,7552,115.0,48.0,Off T,0.06055075,Toby Alderweireld,120.0,44.8,4.0,46,Belgium
838,7552,113.0,44.0,Wayward,0.2933327,Wahbi Khazri,109.0,80.0,,49,Tunisia
839,7552,99.0,24.0,Saved,0.03409846,Anice Badri,117.0,37.6,0.0,49,Tunisia
840,7552,109.0,38.0,Goal,0.78923815,Eden Hazard,120.0,37.6,1.3,50,Belgium
841,7552,112.0,37.0,Wayward,0.13028686,Fakhreddine Ben Youssef,118.0,22.0,,53,Tunisia
842,7552,94.0,55.0,Off T,0.022455232,Ferjani Sassi,120.0,34.2,1.2,55,Tunisia
